001	1j4r 
002	2fv9 
003	2jfz 
004	2z2p 6zse 6zsd 6zsg 6zsc 6zsb 8e41 4u1v 4u1u 6pc5 4u27 4u26 1yit 6i9r 4wqu 6ak2 1yjw 1sm1 6wyv 6zs9 4v9s 4v9r 
006	3qs1 3fnu 
007	2bua 
008	2buc 
009	3ckr 
00A	3cw8 
00E	5cgg 
00I	1qur 
00J	2xir 
00K	1a46 
00L	1a5g 
00N	1a61 
00P	1d9i 
00Q	1tbz 
00R	1d6w 
00S	6hzb 6hzc 6hzd 4omc 4omd 6eqx 6eqv 6eqw 4ryd 6yd3 6yd2 6yd7 5jxh 5jxj 5zob 6hlb 6hld 6hle 6yd4 6hza 
010	6jij 7bqy 2amq 5eb5 7wku 6hrj 3d23 5eu8 2hob 7bi5 5gwz 5gwy 7d3c 3iwm 4ii8 2q6f 5onl 7v42 8cxd 6lu7 
011	3n84 3n7y 4ze6 5id0 6azk 6ayn 
012	3ckp 
014	3ouh 
016	3nls 
017	3jw2 3s54 3s53 3tkw 6ops 6opt 6opw 6opv 6opy 6opz 3ttp 1t3r 3u7s 4ll3 3oxw 4dqc 4dqh 4dqf 4dqe 4dqb 3ucb 3ogp 3d1z 3t3c 7mas 7maq 7map 3so9 3bvb 2f81 1t7i 2f8g 6w6q 7mar 6opu 6opx 2hs2 2hs1 2idw 3lzs 3lzu 3ebz 3d20 2ien 2ieo 3ggu 6dh3 6dh0 6dh6 5e5j 6dgx 3pwm 4hla 4q1w 4q1x 4q1y 3ekt 5t2z 2f80 4yoa 3cyw 5kr1 4njt 6oot 6oou 6oos 4npt 5kqy 6p9a 3oy4 5e5k 6xd2 
018	3h7w 
01A	3cw9 
01B	5jr6 5x49 1n51 6a9u 4s2t 
01E	2wpo 
01F	4awt 4aws 
01G	2r75 
01I	3mb6 3ma3 
01K	4bhw 6gyr 3biy 
01P	3qqu 
01S	1jaq 
01T	3o95 
01W	3ds9 
020	3h82 
022	3qj5 
023	2wo9 2wo8 2woa 
024	2qbs 
027	3pix 
028	2z50 
02A	5usv 7v9d 7f9p 5s76 7yv1 
