prd_ID	pdb
PRD_000001	1a7y
PRD_000006	316d
PRD_000007	1qfi
PRD_000009	1a7z
PRD_000010	1unm
PRD_000011	209d
PRD_000020	1shh
PRD_000021	2fir
PRD_000041	2bee
PRD_000042	2be0
PRD_000043	2pwt
PRD_000102	1skl
PRD_000103	1skk
PRD_000104	1ski
PRD_000105	1qvl
PRD_000106	1r9v
PRD_000107	1uno
PRD_000108	1s4a
PRD_000109	1s1o
PRD_000110	3c1p
PRD_000117	3iiq
PRD_000142	2wfj
PRD_000143	1cwj
PRD_000144	1bck
PRD_000150	1alz
PRD_000151	1jo3
PRD_000152	2izq
PRD_000153	1alz
PRD_000154	1kqe
PRD_000155	1tkq
PRD_000156	1ob4
PRD_000157	1ob6
PRD_000158	1ob7
PRD_000159	1ih9
PRD_000160	1m24
PRD_000161	1joh
PRD_000162	1ee7
PRD_000163	1amt
PRD_000180	1bcr
PRD_000183	3h5r
PRD_000184	1q71
PRD_000185	2npv
PRD_000186	1efr
PRD_000187	1okx
PRD_000193	3knl
PRD_000194	1aj1
PRD_000195	2dde
PRD_000196	1w9n
PRD_000197	2ktn
PRD_000198	2kto
PRD_000199	1qow
PRD_000200	1wco
PRD_000201	3cqz
PRD_000203	1gac
PRD_000204	1aa5
PRD_000205	1rrv
PRD_000206	1ghg
PRD_000207	1hh3
PRD_000209	2xad
PRD_000210	3mgb
PRD_000211	2wdx
PRD_000212	1eva
PRD_000213	1evc
PRD_000214	3e7a
PRD_000215	2bdx
PRD_000216	2f9n
PRD_000217	1xt7
PRD_000219	1tk2
PRD_000220	1w7q
PRD_000221	2zjp
PRD_000222	1dsr
PRD_000223	1e9w
PRD_000224	2rqo
PRD_000225	1d8t
PRD_000226	3knj
PRD_000227	1yit
PRD_000228	2j9j
PRD_000229	2wpo
PRD_000230	1jaq
PRD_000231	1rhk
PRD_000232	1jao
PRD_000233	1d5m
PRD_000234	1mem
PRD_000235	2z3d
PRD_000236	4est
PRD_000237	1thl
PRD_000238	2j32
PRD_000239	1cp3
PRD_000240	1sio
PRD_000241	1pyo
PRD_000242	2hal
PRD_000243	3fiv
PRD_000244	1idb
PRD_000245	2sem
PRD_000246	2id4
PRD_000247	1umt
PRD_000249	1a85
PRD_000250	2z3c
PRD_000252	1ice
PRD_000253	1the
PRD_000254	1hdt
PRD_000256	9hvp
PRD_000257	7kme
PRD_000258	1cgl
PRD_000259	2qlj
PRD_000260	1scn
PRD_000261	1p01
PRD_000262	5er2
PRD_000263	3er3
PRD_000264	1gvw
PRD_000265	1eed
PRD_000266	1oex
PRD_000267	2er7
PRD_000268	2er9
PRD_000269	1mtr
PRD_000270	1mhw
PRD_000271	1dy8
PRD_000272	1tg1
PRD_000275	1qz0
PRD_000276	3bv9
PRD_000277	2cjx
PRD_000278	1p8j
PRD_000279	1afq
PRD_000280	2r3c
PRD_000281	2r5d
PRD_000282	2qlf
PRD_000283	1nkm
PRD_000284	2ql9
PRD_000285	2puq
PRD_000286	1s4v
PRD_000287	1cvw
PRD_000288	1a5i
PRD_000289	1m4h
PRD_000290	1fkn
PRD_000291	1ym2
PRD_000292	1ym4
PRD_000293	2qlb
PRD_000295	1qdu
PRD_000296	1e80
PRD_000297	2aig
PRD_000298	3apr
PRD_000300	2ql7
PRD_000301	1qtn
PRD_000306	2r9b
PRD_000307	1z8g
PRD_000308	5er1
PRD_000309	1khp
PRD_000310	1csb
PRD_000312	1ewp
PRD_000313	1p04
PRD_000314	1gbb
PRD_000315	1gbd
PRD_000316	2lpr
PRD_000317	1gbc
PRD_000318	1p05
PRD_000319	1hef
PRD_000320	1aaq
PRD_000321	3b80
PRD_000322	1ba8
PRD_000323	1bil
PRD_000324	1bb0
PRD_000325	1fh0
PRD_000326	2axi
PRD_000328	1ppm
PRD_000329	5est
PRD_000330	2c2k
PRD_000331	1f9e
PRD_000332	2c2o
PRD_000333	6pad
PRD_000334	5pad
PRD_000335	1sqz
PRD_000336	2c2z
PRD_000337	1gec
PRD_000338	1x3z
PRD_000339	3g8f
PRD_000340	1ida
PRD_000341	1jld
PRD_000344	1czi
PRD_000345	1is0
PRD_000346	2er6
PRD_000347	2pbk
PRD_000348	1ivq
PRD_000349	1k1t
PRD_000350	2agg
PRD_000351	2age
PRD_000352	2ixp
PRD_000353	1bim
PRD_000354	1pip
PRD_000355	8kme
PRD_000356	1epq
PRD_000357	2ajb
PRD_000358	1bma
PRD_000360	1ele
PRD_000361	1od1
PRD_000362	8hvp
PRD_000363	2b0f
PRD_000364	1eld
PRD_000365	1ela
PRD_000366	7est
PRD_000367	1elc
PRD_000368	1elb
PRD_000369	1dan
PRD_000370	1af0
PRD_000371	1a86
PRD_000372	3aig
PRD_000374	1pph
PRD_000376	1fpc
PRD_000377	1nu9
PRD_000378	1psa
PRD_000379	1fph
PRD_000380	1tmn
PRD_000381	1pjp
PRD_000382	4er1
PRD_000383	1lzq
PRD_000384	1zlf
PRD_000385	1z8c
PRD_000386	1fqx
PRD_000387	1p11
PRD_000388	1btw
PRD_000389	1btx
PRD_000390	1btz
PRD_000391	1rhq
PRD_000392	1epp
PRD_000393	1hpg
PRD_000395	1d5x
PRD_000396	1d6e
PRD_000398	2avq
PRD_000399	1cgh
PRD_000400	1v9t
PRD_000401	1nh0
PRD_000402	1hne
PRD_000403	1hiv
PRD_000404	1jan
PRD_000405	1nkk
PRD_000406	1bhf
PRD_000407	1cpi
PRD_000409	1jyq
PRD_000410	1ay6
PRD_000411	1ot5
PRD_000413	1bda
PRD_000414	1ppg
PRD_000415	1bll
PRD_000416	2jxr
PRD_000417	1a8g
PRD_000418	2est
PRD_000419	1pad
PRD_000420	1r64
PRD_000421	3sga
PRD_000422	2h5i
PRD_000423	2h6m
PRD_000424	1vdn
PRD_000425	2h65
PRD_000426	1dxw
PRD_000427	1fiv
PRD_000428	1tmb
PRD_000429	2b7f
PRD_000430	3er5
PRD_000431	2h5j
PRD_000432	1gvt
PRD_000434	3kfr
PRD_000439	3gcd
PRD_000444	1sp4
PRD_000451	1ppc
PRD_000452	1etr
PRD_000453	3exb
PRD_000454	1hxb
PRD_000456	1d5z
PRD_000457	1p9u
PRD_000459	4pad
PRD_000464	1waw
PRD_000465	1wb0
PRD_000466	3chd
PRD_000468	1llo
PRD_000480	1nzq
PRD_000481	2cn0
PRD_000482	3ah8
PRD_000483	2igz
PRD_000484	1go6
PRD_000485	1hhy
PRD_000487	1w3m
PRD_000488	185d
PRD_000491	1xvr
PRD_000492	193d
PRD_000503	3kti
PRD_000504	3ktj
PRD_000505	1yjw
PRD_000507	1xkh
PRD_000553	1n51
PRD_000554	1tmb
PRD_000555	1a2c
PRD_000556	1aq7
PRD_000557	3emy
PRD_000558	1m21
PRD_000559	1ke2
PRD_000560	1j36
PRD_000561	1qr3
PRD_000562	1hpx
PRD_000563	1fq4
PRD_000564	1fq7
PRD_000565	1fq8
PRD_000566	1kzk
PRD_000567	1mrx
PRD_000568	2zu3
PRD_000569	2zu5
PRD_000571	2cv3
PRD_000572	3nls
PRD_000575	3fnu
PRD_000576	2pk5
PRD_000577	3lin
PRD_000578	3liq
PRD_000579	3lit
PRD_000580	3liv
PRD_000581	3lix
PRD_000582	3kdc
PRD_000583	3kdd
PRD_000584	3a2o
PRD_000585	2pk6
PRD_000586	3biu
PRD_000587	3biv
PRD_000588	2zhw
PRD_000589	2zhe
PRD_000590	3dt0
PRD_000591	2zfp
PRD_000592	2zgb
PRD_000593	2zc9
PRD_000595	2zi2
PRD_000596	2ziq
PRD_000597	2zhq
PRD_000598	2zgx
PRD_000599	2znk
PRD_000600	2zda
PRD_000601	2zo3
PRD_000602	2zdv
PRD_000604	2zdl
PRD_000605	2zdm
PRD_000606	2zhf
PRD_000607	2zdk
PRD_000608	2zf0
PRD_000609	2zff
PRD_000610	3dux
PRD_000611	3f68
PRD_000612	2feq
PRD_000613	2fes
PRD_000616	1eb1
PRD_000617	1a46
PRD_000618	1a5g
PRD_000619	1a61
PRD_000621	1tbz
PRD_000622	1a4w
PRD_000623	1doj
PRD_000628	1k1n
PRD_000630	3imd
PRD_000632	3imj
PRD_000633	3in7
PRD_000634	3in8
PRD_000635	3kfj
PRD_000638	1tlp
PRD_000639	1xe5
PRD_000640	1xe6
PRD_000641	3ag9
PRD_000642	3agl
PRD_000645	3bwj
PRD_000651	3fvp
PRD_000652	3flf
PRD_000653	3fv4
PRD_000654	4h57
PRD_000655	6tmn
PRD_000656	4tmn
PRD_000657	1qrp
PRD_000659	1ppl
PRD_000664	1ppk
PRD_000667	3eq0
PRD_000668	3ahn
PRD_000669	3aho
PRD_000670	2cno
PRD_000671	2cnn
PRD_000672	2cnl
PRD_000673	2cnk
PRD_000674	2cdr
PRD_000675	3k5d
PRD_000691	1e8m
PRD_000692	3ivm
PRD_000693	2kid
PRD_000694	2xdw
PRD_000695	1o6g
PRD_000696	1ke1
PRD_000701	1kdz
PRD_000705	2j9a
PRD_000708	1kdv
PRD_000720	2ih0
PRD_000723	2w16
PRD_000724	2w77
PRD_000725	2w76
PRD_000726	2w78
PRD_000727	2w6u
PRD_000728	2w6t
PRD_000734	2jue
PRD_000749	1jjz
PRD_000750	1ha9
PRD_000752	1bh4
PRD_000754	1nlu
PRD_000755	1p11
PRD_000756	1au8
PRD_000758	2l2z
PRD_000759	2l2y
PRD_000760	2l2x
PRD_000762	2xjh
PRD_000764	1cwk
PRD_000765	1cwb
PRD_000766	1mik
PRD_000767	1cwh
PRD_000768	1cwm
PRD_000769	1ca8
PRD_000770	2c2m
PRD_000771	3snc
PRD_000772	3sne
PRD_000776	4gvu
PRD_000777	4gzf
PRD_000778	4gye
PRD_000779	3mgn
PRD_000780	4hab
PRD_000781	4dkt
PRD_000782	3of8
PRD_000784	3of9
PRD_000785	3rqd
PRD_000786	3rjm
PRD_000787	3sha
PRD_000788	3shc
PRD_000790	3si3
PRD_000793	4d8i
PRD_000794	3rq7
PRD_000795	3sv2
PRD_000796	3s85
PRD_000797	3sje
PRD_000798	3st5
PRD_000799	3sjx
PRD_000800	3lir
PRD_000801	3t5f
PRD_000802	3si4
PRD_000803	3lil
PRD_000805	3ljg
PRD_000806	3rm2
PRD_000807	4e67
PRD_000808	3lnj
PRD_000809	4e9c
PRD_000810	4e9d
PRD_000811	3tu7
PRD_000812	4eec
PRD_000813	3s04
PRD_000814	3ut5
PRD_000815	3atw
PRD_000816	3m1b
PRD_000817	3av9
