id	count
GLY	222034
LEU	221828
ALA	221507
LYS	221018
SER	220894
VAL	220890
GLU	220872
THR	220368
ARG	220349
ILE	220254
ASP	220184
ASN	219780
PRO	219340
GLN	219268
PHE	219085
TYR	218397
HIS	214990
MET	206735
TRP	198953
CYS	192763
HOH	177295
SO4	26250
MG	24461
GOL	23906
ZN	23712
CL	18770
EDO	15967
CA	14849
NAG	13388
NA	12141
DG	10992
DT	10970
DC	10772
DA	10694
MSE	10178
U	7751
A	7744
PO4	7741
G	7734
C	7545
ACT	7067
HEM	5872
PEG	5371
DMS	4912
MN	4636
K	4403
BMA	4376
ADP	3952
MAN	3888
FAD	2971
ATP	2795
FE	2403
ACE	2355
NI	2240
TRS	2221
MPD	2198
SF4	2124
GDP	2115
MES	2102
PGE	2096
GLC	2079
FUC	2078
CU	2038
PG4	2031
SEP	1962
FMT	1953
NAD	1937
NH2	1924
UNK	1861
FMN	1812
GTP	1811
NAP	1807
GAL	1566
TPO	1552
BGC	1507
EPE	1499
CIT	1479
PLP	1362
SAH	1316
FES	1293
CD	1232
ANP	1208
IOD	1183
CSO	1136
NDP	1136
FE2	1110
HEC	1095
1PE	1084
CO	1068
IMD	1050
BME	1034
ACY	968
AMP	954
NO3	946
PCA	934
MLI	904
PSU	877
PTR	874
CLR	822
UNX	807
CME	804
IPA	777
KCX	751
COA	749
5MC	748
SAM	736
OMG	700
BR	678
GNP	667
OMC	661
5MU	659
PLM	643
FLC	643
H4B	641
LLP	638
HG	624
FME	619
UDP	613
CDL	597
TLA	593
2MG	592
UR3	591
OMU	584
LMT	582
MA6	573
CSD	569
SIA	564
MRD	533
UNL	528
P6G	515
OXY	514
SCN	514
OLC	510
FRU	504
BOG	503
ACP	484
RET	481
CAC	481
GSH	472
CMO	465
MYR	464
AGS	446
NAI	430
6MZ	424
4OC	422
BTB	413
DAL	411
AKG	400
OGA	399
NDG	399
G7M	397
CO3	393
ALY	392
BCT	392
HIC	379
HYP	377
2MA	375
Y01	370
PC1	353
3PE	352
BEF	352
7MG	350
XYP	350
CLA	347
OLA	346
MLY	345
H2U	342
TYS	341
POP	335
LHG	333
F3S	332
4SU	327
SIN	324
BEN	319
DTT	315
NH4	314
M3L	313
OCS	311
CRO	309
EOH	304
DOC	294
ACO	293
1MG	290
GLA	289
BCR	286
TPP	284
DTP	282
NHE	282
LMG	278
NCO	275
8OG	266
PYR	261
IHP	260
LDA	258
5CM	258
AZI	248
SPM	246
CSX	243
FUL	241
1MA	241
A2M	240
3TD	239
CU1	238
BA	235
A2G	235
ALF	235
DGD	233
DGT	233
POV	232
CAS	231
M2G	231
UMP	230
MLA	227
PTY	223
DPR	218
SPD	217
THP	214
PEE	214
DIO	214
ADN	213
DGL	211
SR	209
BCL	207
BEZ	205
TTP	203
U10	202
C8E	201
CS	200
SAC	199
NO	198
CSS	197
SQD	195
CYN	194
D10	192
DOD	191
ADE	191
OH	190
B3P	190
OCT	190
5GP	188
CUA	187
0TD	187
IMP	185
3DR	183
NO2	183
CTP	182
DPN	182
HED	179
NGA	178
PPV	177
DCP	176
2MR	176
DVA	174
MLZ	174
2PE	174
DLE	172
TAR	170
AIB	170
PGO	169
ABA	169
DSN	167
MIA	167
PT	166
HEA	166
AYA	165
NLE	165
PE4	165
OXL	165
PCW	164
DMU	164
BPH	164
D12	163
GCP	159
HEZ	159
O	158
MLT	158
ORN	156
PHO	156
CMP	155
APC	155
PG0	155
DLY	153
ORO	150
PL9	149
BCN	146
XE	146
CO2	146
XYS	144
CHD	143
CYC	143
MVA	141
UPG	140
DPO	139
BRU	139
SEC	139
FDA	138
LFA	138
AR6	137
BTN	136
C2E	136
B12	136
GSP	135
SFG	135
IAS	135
MPO	135
U5P	135
SAR	135
H2S	134
FBP	134
AF3	134
AU	134
DTY	133
DAR	133
AG	132
FOL	131
VO4	131
UTP	131
A3P	130
PQN	129
CR2	129
TAM	128
YCM	127
APR	126
PMP	126
GD	126
SO3	125
DU	125
DTH	125
P33	124
N	123
PGV	123
DTR	118
D2T	118
C5P	118
PLC	117
MTA	117
OEX	116
YB	115
MEQ	115
PEP	113
TA1	113
F6P	112
LI	112
MYA	112
IPH	110
LMR	109
PNS	109
PIO	109
BLA	108
UD1	107
0QE	106
GAI	106
PEO	106
4D4	105
AME	105
8Q1	104
BU3	104
CXS	104
MLE	104
HEX	104
BNG	104
HC4	103
MOH	102
4AC	101
PAR	101
MEN	101
CPS	100
DAS	99
DAO	99
EHZ	99
PG5	99
BDP	98
DUP	97
12P	97
F	97
CHL	96
SPH	96
RAM	96
PG6	95
PER	95
CXM	94
PUT	94
DSG	93
TYD	92
ABU	92
KPI	91
STU	91
DCY	91
MBO	90
NRQ	89
SGN	89
MMA	89
1PG	89
C14	89
POL	89
RB	87
PRP	87
PHQ	87
URE	87
DI	86
FCO	86
TMP	86
PX4	86
15P	86
STE	85
B8N	85
G2P	84
BU1	84
MTX	84
