instance_id	prd_id	asym_id	pdb
1	PRD_000599	H	2znk
1	PRD_000020	B	1sfq
2	PRD_000020	E	1sfq
1	PRD_000481	I	2cn0
1	PRD_000802	H	3si4
1	PRD_000940	I	3u8o
1	PRD_001079	H	3qto
1	PRD_000597	H	2zhq
1	PRD_000598	H	2zgx
1	PRD_000020	B	1shh
2	PRD_000020	E	1shh
1	PRD_000481	I	2cf8
1	PRD_002146	B	4yes
1	PRD_000964	H	3rmm
1	PRD_000622	H	1a4w
1	PRD_000481	I	2v3h
1	PRD_000600	H	5mm6
1	PRD_000900	H	3uwj
1	PRD_000481	I	2cf9
1	PRD_000020	H	3p6z
2	PRD_000020	B	3p6z
1	PRD_000020	B	4rko
1	PRD_000887	H	3u9a
1	PRD_000020	B	1xmn
2	PRD_000020	D	1xmn
3	PRD_000020	F	1xmn
4	PRD_000020	H	1xmn
1	PRD_000607	H	2zg0
1	PRD_000623	A	1doj
1	PRD_000601	H	2zo3
1	PRD_000593	H	2zc9
1	PRD_001092	I	3u8t
1	PRD_000020	H	5do4
1	PRD_000788	H	3shc
1	PRD_001145	J	3vxe
2	PRD_001148	I	3vxe
1	PRD_001083	H	3qtv
1	PRD_000605	H	2zfr
1	PRD_000020	H	5e8e
1	PRD_001090	H	3rml
1	PRD_000600	H	2zda
1	PRD_000020	B	4ch2
2	PRD_000020	D	4ch2
1	PRD_001093	I	3u8r
1	PRD_000787	H	3sha
1	PRD_001084	H	3qwc
1	PRD_000595	H	2zi2
1	PRD_000322	B	1ba8
1	PRD_001112	H	3p17
1	PRD_000020	H	1ppb
1	PRD_001085	H	3qx5
1	PRD_000592	H	2zgb
1	PRD_000790	H	3si3
1	PRD_001005	H	3rmo
1	PRD_000610	H	3dux
1	PRD_000606	H	2zhf
1	PRD_000628	H	1ypk
1	PRD_000806	H	3rm2
1	PRD_000020	B	4ch8
2	PRD_000020	D	4ch8
3	PRD_000020	F	4ch8
4	PRD_000020	H	4ch8
1	PRD_000667	H	3eq0
1	PRD_000801	H	3t5f
1	PRD_000020	L	4lz1
1	PRD_000611	H	3f68
1	PRD_000972	H	3rmn
1	PRD_000616	B	1eb1
1	PRD_000795	H	3sv2
1	PRD_001100	H	3rly
2	PRD_001100	H	3rly
1	PRD_000020	H	6eo6
1	PRD_000020	H	3dd2
1	PRD_000276	C	3bv9
1	PRD_000593	H	5mls
1	PRD_000667	H	5jfd
1	PRD_000596	H	2ziq
1	PRD_000481	I	1oyt
1	PRD_001101	H	3rm0
2	PRD_001101	H	3rm0
1	PRD_000602	H	2zdv
1	PRD_001087	H	3rlw
1	PRD_000410	H	1ay6
1	PRD_000587	H	3biv
1	PRD_000609	H	2zff
1	PRD_000020	B	2pgq
1	PRD_000481	I	2v3o
1	PRD_000877	H	3u98
1	PRD_000020	B	2od3
1	PRD_000604	H	2zfq
1	PRD_000020	H	4dih
