prd_ID	pdblig_ID
PRD_000020	0G6
PRD_000021	0G7
PRD_000041	JS4
PRD_000042	JS5
PRD_000043	LHA
PRD_000229	01E
PRD_000230	01S
PRD_000232	0D3
PRD_000234	0D6
PRD_000237	0DB
PRD_000244	0DO
PRD_000247	0DS
PRD_000249	0DY
PRD_000253	0E6
PRD_000254	0E7
PRD_000256	0E9
PRD_000258	0ED
PRD_000260	0EF
PRD_000261	0EG
PRD_000262	0EK
PRD_000263	0EL
PRD_000264	0EM
PRD_000265	0EO
PRD_000269	PI6
PRD_000271	0F7
PRD_000279	0FG
PRD_000283	0FP
PRD_000287	0GE
PRD_000288	0GJ
PRD_000296	0GQ
PRD_000297	0GR
PRD_000308	0HT
PRD_000310	EP0
PRD_000312	0I5
PRD_000320	PSI
PRD_000322	0IT
PRD_000323	0IU
PRD_000324	0IV
PRD_000325	0IW
PRD_000328	0P1
PRD_000329	0P2
PRD_000333	0PC
PRD_000340	0PO
PRD_000341	0PP
PRD_000348	0PX
PRD_000349	0Q4
PRD_000353	0QB
PRD_000356	0QF
PRD_000357	0QG
PRD_000358	0QH
PRD_000360	0QN
PRD_000361	0QS
PRD_000364	0Z0
PRD_000365	0Z1
PRD_000366	0Z2
PRD_000367	0Z3
PRD_000368	0Z4
PRD_000369	0Z6
PRD_000370	0Z9
PRD_000371	0ZB
PRD_000372	0ZC
PRD_000374	0ZG
PRD_000376	0ZI
PRD_000377	0ZJ
PRD_000378	0ZL
PRD_000380	0ZN
PRD_000382	0ZP
PRD_000383	0ZQ
PRD_000384	0ZR
PRD_000385	0ZS
PRD_000386	0ZT
PRD_000388	0ZW
PRD_000389	0ZX
PRD_000390	0ZY
PRD_000391	0ZZ
PRD_000392	1Z1
PRD_000398	2NC
PRD_000399	1ZG
PRD_000403	1ZK
PRD_000410	1ZV
PRD_000413	2Z0
PRD_000416	2Z3
PRD_000417	2Z4
PRD_000418	2Z5
PRD_000426	2ZF
PRD_000432	2ZS
PRD_000434	3TL
PRD_000439	AZ0
PRD_000444	EP2
PRD_000451	MID
PRD_000452	MIT
PRD_000454	ROC
PRD_000459	TCK
PRD_000466	WRG
PRD_000560	LPR
PRD_000562	KNI
PRD_000563	2Y2
PRD_000564	2Y3
PRD_000565	2Y4
PRD_000566	JE2
PRD_000567	K57
PRD_000568	ZU3
PRD_000569	ZU5
PRD_000572	016
PRD_000575	006
PRD_000576	075
PRD_000577	E13
PRD_000578	E14
PRD_000579	E15
PRD_000580	E16
PRD_000581	E17
PRD_000582	JZP
PRD_000583	JZQ
PRD_000584	KNJ
PRD_000585	O33
PRD_000586	10U
PRD_000587	11U
PRD_000588	12U
PRD_000589	13U
PRD_000590	16U
PRD_000591	19U
PRD_000592	21U
PRD_000593	22U
PRD_000595	24U
PRD_000596	26U
PRD_000597	27U
PRD_000598	29U
PRD_000599	31U
PRD_000600	32U
PRD_000601	33U
PRD_000602	37U
PRD_000604	45U
PRD_000605	46U
PRD_000606	49U
PRD_000607	50U
PRD_000608	51U
PRD_000609	53U
PRD_000610	64U
PRD_000611	91U
PRD_000612	34P
PRD_000613	3SP
PRD_000617	00K
PRD_000618	00L
PRD_000619	00N
PRD_000621	00Q
PRD_000622	QWE
PRD_000623	1Z0
PRD_000628	CCR
PRD_000630	FYQ
PRD_000632	AYI
PRD_000633	AYQ
PRD_000634	FYI
PRD_000635	YEN
PRD_000638	RDF
PRD_000639	5FE
PRD_000640	5FP
PRD_000641	A02
PRD_000642	A03
PRD_000645	ARX
PRD_000651	UB2
PRD_000652	UB3
PRD_000653	1U4
PRD_000654	0PJ
PRD_000655	0PI
PRD_000656	0PK
PRD_000657	HH0
PRD_000659	1Z7
PRD_000664	IVV
PRD_000667	2TS
PRD_000668	3A1
PRD_000669	3A2
PRD_000675	XLI
PRD_000691	P0H
PRD_000692	ZPR
PRD_000756	0H8
PRD_000769	0KV
PRD_000782	I0Y
PRD_000784	I0X
PRD_000787	P97
PRD_000788	B01
PRD_000790	B03
PRD_000795	P05
PRD_000796	LK0
PRD_000797	SDR
PRD_000798	G89
PRD_000799	QRG
PRD_000800	EEC
PRD_000801	M34
PRD_000802	B04
PRD_000803	EEA
PRD_000805	EEF
PRD_000806	S00
PRD_000811	0BM
PRD_000830	R47
PRD_000843	MCX
PRD_000845	L4T
PRD_000849	L5T
PRD_000865	R4B
PRD_000866	R45
PRD_000868	R4C
PRD_000877	BJA
PRD_000887	S33
PRD_000889	15U
PRD_000900	TIF
PRD_000902	ONK
PRD_000903	0JR
PRD_000904	VNK
PRD_000907	LDZ
PRD_000908	VPF
PRD_000909	CIX
PRD_000915	1KR
PRD_000919	INN
PRD_000930	OV2
PRD_000944	OEU
PRD_000946	23X
PRD_000947	F72
PRD_000948	A69
PRD_000949	F71
PRD_000950	55A
PRD_000951	K83
PRD_000952	A68
PRD_000953	77F
PRD_000954	F78
PRD_000955	AF8
PRD_000956	OV1
PRD_000958	HUD
PRD_000959	3OE
PRD_000964	M32
PRD_000971	621
PRD_000972	M41
PRD_000979	1G1
PRD_000980	UBX
PRD_000981	UBY
PRD_000982	UBZ
PRD_000983	UBW
PRD_000984	UBV
PRD_000985	UBU
PRD_000986	UBT
PRD_000987	UBS
PRD_000991	04C
PRD_000992	1G5
PRD_000993	1G6
PRD_001001	RIT
PRD_001003	D0R
PRD_001005	S04
PRD_001008	PMJ
PRD_001011	3NS
PRD_001017	076
PRD_001019	079
PRD_001032	074
PRD_001037	KVS
PRD_001038	038
PRD_001043	PN4
PRD_001046	TFN
PRD_001050	RX4
PRD_001051	EP9
PRD_001053	Y3A
PRD_001055	K95
PRD_001058	EEG
PRD_001060	QEG
PRD_001064	1RR
PRD_001071	3SD
PRD_001075	P3N
PRD_001079	10P
PRD_001083	06P
PRD_001084	98P
PRD_001085	02P
PRD_001087	S28
PRD_001090	M31
PRD_001100	S29
PRD_001101	S54
PRD_001110	RSY
PRD_001112	99P
PRD_001113	RSZ
PRD_001114	S89
PRD_001115	O61
PRD_001116	4SH
PRD_001133	1X3
PRD_001137	1Y0
PRD_001138	1AQ
PRD_001139	1BG
PRD_001140	CTW
PRD_001141	1YH
PRD_001160	H37
PRD_001161	EC6
PRD_001163	29D
PRD_001164	29C
PRD_001165	28Z
PRD_001174	KVI
PRD_001175	2G7
PRD_001177	2GC
PRD_001178	2G8
PRD_001179	2G9
PRD_001180	2G6
PRD_001182	2GZ
PRD_001183	2H0
PRD_001198	3VH
PRD_001200	2LR
PRD_001201	2L0
PRD_001205	2LV
PRD_001206	2M1
PRD_001207	2MK
PRD_001210	ALD
PRD_001217	2OY
PRD_001230	2YS
PRD_001231	2YT
PRD_001243	3BV
PRD_001244	3E5
PRD_001258	39S
PRD_002042	4I4
PRD_002048	X94
PRD_002050	X95
PRD_002070	JKT
PRD_002071	TDV
PRD_002076	X92
PRD_002077	X93
PRD_002099	UML
PRD_002146	45S
PRD_002147	4B5
PRD_002148	3WD
PRD_002151	3WZ
PRD_002153	3WY
PRD_002154	3WV
PRD_002168	4PK
PRD_002173	4Q5
PRD_002175	4SL
PRD_002187	V66
PRD_002189	V64
PRD_002201	5LG
